Metric,Value
Accuracy,0.8333333333333334
Precision,0.8461538461538461
Recall,0.7857142857142857
F1-score,0.8148148148148148
Specificity,0.875
Balanced Accuracy,0.8303571428571428
Plaintext ROC-AUC,0.9497767857142857
Encrypted ROC-AUC,0.9497767857142857
Average Encryption Time,0.01974262793858846
Average Encrypted Inference Time,0.060420882701873777
Total Secure Pipeline Time,0.08016351064046223
